Wojewodztwo;Rok;Gestosc zaludnienia na km2;Populacja;Ilosc malzenstw;Ilosc malzenstw koscielnych;Malzenstwa kobieta <=19 lat;Malzenstwa kobieta 20-24 lat;Malzenstwa kobieta 25-29 lat;Malzenstwa kobieta 30-39 lat;Malzenstwa kobieta 40-49 lat;Malzenstwa kobieta >=50 lat;Malzenstwa mezczyzna <=19 lat;Malzenstwa mezczyzna 20-24 lat;Malzenstwa mezczyzna 25-29 lat;Malzenstwa mezczyzna 30-39 lat;Malzenstwa mezczyzna 40-49 lat;Malzenstwa mezczyzna >=50 lat;Malzenstwa kobieta pochodzi ze wsi;Malzenstwa mezczyzna pochodzi ze wsi;Ilosc rozwodow;Rozwody zainicjowane przez osoby ze wsi;Rozwody zainicjowane przez kobiety <=24 lat;Rozwody zainicjowane przez kobiety 25-29 lat;Rozwody zainicjowane przez kobiety 30-39 lat;Rozwody zainicjowane przez kobiety 40-49 lat;Rozwody zainicjowane przez kobiety >=50 lat;Rozwody zainicjowane przez mezczyzn <=24 lat;Rozwody zainicjowane przez mezczyzn 25-29 lat;Rozwody zainicjowane przez mezczyzn 30-39 lat;Rozwody zainicjowane przez mezczyzn 40-49 lat;Rozwody zainicjowane przez mezczyzn >=50 lat;srednie zarobki;Ilosc zatrudnionych kobiet;Wspolczynnik feminizacji;Dzietnosc;Zgony niemowlat na 1000 urodzonych;Rozwody przy braku dzieci;Rozwody przy 1 dziecku;Rozwody przy 2 dzieciach;Rozwody przy 3 dzieciach;Rozwody przy >=4 dzieciach;Rozwody z powodu niedochowania wiernosci;Rozwody z powodu naduzycia alkoholu;Rozwody z powodu naganndego stosuknu do czlonkow rodziny;Rozwody z powodu trudnosci mieszkaniowych;Rozwody z powodu nieporozumien na tle finansowym;Rozwody z powodu niezgodnosci charakterow;Rozwody z powodu niedoboru seksualnego;Rozwody z powodu dluzszej nieobecnosci;Rozwody z powodu roznic swiatopogladowych
LODZKIE;2004;142;2587091;13011;9605;757;5853;4406;1097;385;498;178;3809;5850;1955;474;608;4611;4672;4446;665;277;869;1600;1140;560;132;637;1642;1260;775;2123,36;419860;110;1,18;5,5;1651;1818;805;132;40;396;400;90;8;125;1076;9;2;0
MALOPOLSKIE;2004;215;3264300;16871;13507;1241;8207;4971;1408;328;321;226;5240;7426;2843;474;498;8467;8603;3431;741;199;717;1227;874;414;86;507;1264;1017;557;2216,21;480480;106;1,283;6;1313;1281;659;121;57;387;229;141;14;97;645;22;0;1
MAZOWIECKIE;2004;145;5155978;26571;19473;1697;11106;8593;2593;816;984;270;6956;11658;4660;1190;1426;9344;9558;7189;1276;507;1458;2496;1789;939;181;1131;2556;2083;1238;3095,96;961748;108;1,241;6;2850;2798;1196;270;75;664;564;232;19;148;2727;39;1;4
OPOLSKIE;2004;112;1054129;4618;3093;391;2081;1357;393;130;146;78;1399;1917;788;166;204;1950;2050;1538;406;113;335;526;390;174;42;266;539;442;249;2183,74;134765;106;1,012;4,3;541;629;266;68;34;248;208;76;1;40;659;3;2;0
PODKARPACKIE;2004;118;2105800;11177;8837;969;5811;3231;846;161;149;183;3862;4840;1688;245;251;6532;6568;2218;733;175;435;800;585;223;72;326;807;690;323;2018,59;293100;104;1,286;7,2;664;871;464;149;70;246;189;152;3;30;590;10;60;2
PODLASKIE;2004;60;1211221;6128;4682;520;2828;1902;552;128;112;103;1904;2612;1057;216;163;2393;2539;1912;324;141;342;652;553;224;56;288;631;642;295;2107,5;179416;105;1,22;7,1;590;745;432;112;33;170;239;99;2;23;485;10;23;0
POMORSKIE;2004;120;2197241;10953;7841;755;4827;3441;1144;336;407;112;3113;4588;1978;475;555;3653;3557;3106;460;227;664;1095;751;369;75;529;1122;877;503;2374,71;304276;106;1,34;6,6;1111;1223;585;136;51;498;322;107;13;138;778;36;20;3
SLASKIE;2004;381;4698907;23631;16185;1630;10925;7524;2036;719;855;347;7086;10169;3721;931;1134;4974;5087;8079;811;596;1742;2890;2004;847;247;1218;3134;2306;1174;2488,62;664185;107;1,119;7,9;2871;3383;1446;306;73;1086;642;578;14;245;2350;45;0;0
SWIETOKRZYSKIE;2004;110;1288155;6865;5414;617;3456;2071;469;109;124;120;2190;3116;1019;175;188;3724;3682;227;68;20;44;78;61;24;5;40;76;74;32;2117,74;199663;105;1,197;5,5;84;87;38;17;1;9;16;8;1;6;82;0;0;0
WARMINSKO-MAZURSKIE;2004;59;1426235;7175;5077;642;3435;2200;580;211;223;109;2224;3006;1206;264;286;2970;2934;2667;636;234;531;941;678;283;92;412;982;781;400;2050,21;180160;105;1,326;4,5;822;1024;579;171;71;229;261;78;3;50;1079;9;11;0
WIELKOPOLSKIE;2004;113;3370395;16970;13197;1234;7989;5439;1385;410;401;244;5242;7447;2704;575;583;7378;7559;4321;1040;338;878;1558;1110;437;137;680;1643;1204;657;2204,31;543419;106;1,268;7,1;1382;1717;926;219;77;586;426;179;30;147;1582;34;12;0
ZACHODNIOPOMORSKIE;2004;74;1694044;7402;4635;440;3045;2423;816;337;403;63;1827;3004;1390;411;535;2233;2181;3510;544;179;711;1238;939;443;67;471;1319;1061;592;2221,63;226187;106;1,229;7,8;1205;1427;696;140;42;559;362;117;6;86;1112;13;14;0
DOLNOSLASKIE;2005;145;2892272;15120;9488;809;5952;5156;1779;555;649;136;3671;6476;3069;695;836;4190;4221;7368;1213;471;1381;2703;1877;936;162;999;2756;2206;1245;2477,56;411884;108;1,148;6,9;2459;2936;1491;333;149;738;610;294;15;183;1892;14;32;2
KUJAWSKO-POMORSKIE;2005;115;2066704;11650;8105;749;5165;3805;1170;329;376;125;3321;5010;2139;439;486;4663;4706;4274;884;261;851;1694;1053;415;97;605;1684;1299;589;2153,46;297159;107;1,271;6,6;1255;1734;921;242;122;598;478;234;6;152;1436;19;5;0
LUBELSKIE;2005;87;2185654;12994;9767;1104;6025;4155;1197;223;266;212;4063;5681;2143;401;362;6809;6922;2828;970;170;570;961;803;324;66;396;986;941;439;2180,18;347117;106;1,329;7,3;807;1173;606;176;66;33;47;258;0;10;1739;2;1;0
LUBUSKIE;2005;72;1007131;4920;3130;261;2100;1722;542;163;202;43;1212;2154;984;204;250;1703;1695;2567;562;129;491;929;696;322;27;326;990;817;407;2144,35;137797;106;1,243;6,2;784;1010;579;133;61;310;336;152;2;61;859;7;11;0
LODZKIE;2005;141;2568872;13344;9591;710;5797;4823;1285;366;461;142;3595;6081;2316;499;593;4992;4998;5094;834;283;942;1932;1352;585;102;661;1953;1547;831;2188,15;426558;110;1,181;6,1;1737;2108;958;212;79;515;548;133;15;174;1277;11;3;1
MALOPOLSKIE;2005;215;3264300;18065;14073;1219;8301;5854;1745;336;338;197;5268;8044;3340;539;506;9049;9162;4676;1124;244;889;1781;1233;529;88;597;1825;1387;779;2303,42;487669;106;1,286;5,8;1591;1823;943;245;74;534;451;248;21;115;979;36;0;0
MAZOWIECKIE;2005;145;5155978;27727;20280;1583;11190;9550;3092;726;967;247;6910;12159;5521;1171;1355;9895;9978;8514;1718;484;1622;3195;2151;1062;169;1157;3224;2516;1448;3227,04;988293;109;1,261;6;3121;3308;1551;392;142;649;656;293;12;133;3505;32;1;2
OPOLSKIE;2005;111;1044718;4969;3169;377;2182;1566;432;168;152;64;1435;2110;883;203;210;2212;2255;1848;486;142;367;671;473;195;35;279;714;541;279;2249,89;136379;107;1,044;4,9;577;707;393;114;57;260;274;78;3;51;662;3;9;2
PODKARPACKIE;2005;118;2105800;11782;9183;978;5848;3632;1012;157;146;175;3744;5329;1970;262;222;6906;6985;2686;995;189;468;983;781;265;58;376;953;905;394;2081,76;295779;104;1,271;7,3;736;1057;607;196;90;265;195;166;5;36;628;9;46;3
PODLASKIE;2005;59;1191034;6498;4895;503;2916;2108;652;152;130;90;1950;2810;1191;225;186;2532;2730;2178;401;158;383;758;636;243;63;324;744;695;352;2192,77;180061;105;1,245;5,6;671;795;501;159;52;146;220;93;1;38;594;1;22;0
